@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {sirens,music,speech}

@DATA
0.097036,0.168927,3.188161,0.160950,0.142645,0.514871,0.053216,0.121654,-24.252150,-0.989212,-1.923694,0.624266,0.268457,-0.355069,0.119152,0.161000,-0.394577,0.121161,0.222236,-0.179429,-0.037362,0.004653,0.005889,0.004124,0.006168,0.007942,0.014236,0.008598,0.005911,0.008432,0.005271,0.004767,0.003673,0.010175,0.016796,0.120662,0.281170,0.022950,0.035023,0.364975,0.051170,0.024323,1.544528,0.779071,0.433146,0.933539,0.513950,0.774251,0.492392,0.451687,0.539217,0.501985,0.365117,0.327684,0.201045,0.009176,0.011445,0.007688,0.009408,0.011790,0.020991,0.015496,0.011874,0.017592,0.011507,0.010218,0.007742,0.006965,sirens
0.068703,0.236574,3.299160,0.137751,0.159024,0.387246,0.002955,0.087829,-22.763217,-0.796045,-1.093741,0.045881,-0.604663,0.368966,0.381729,0.225874,-0.086218,0.027573,0.168839,-0.147279,0.257948,0.000321,0.077152,0.000806,0.000238,0.001177,0.001294,0.085832,0.014982,0.008850,0.000359,0.000249,0.000172,0.041565,0.011949,0.038782,0.052247,0.021208,0.021181,0.158262,0.005563,0.008702,0.838246,0.851727,0.587324,0.431779,0.327934,0.412852,0.275044,0.545415,0.609106,0.299158,0.537179,0.335147,0.165069,0.000324,0.053208,0.000639,0.000133,0.001499,0.000831,0.077019,0.014802,0.007992,0.000214,0.000162,0.000115,0.008091,sirens
0.054639,0.049625,3.214727,0.109466,0.152419,0.251706,0.022057,0.064706,-25.030008,1.063604,-0.355486,1.291748,0.191804,0.210955,0.622152,0.232275,0.158323,0.019648,0.132692,0.118960,0.157758,0.001365,0.001773,0.051362,0.005317,0.010087,0.007779,0.017410,0.005310,0.005836,0.004216,0.015709,0.005267,0.022677,0.007660,0.040772,0.071746,0.019284,0.031618,0.173433,0.017456,0.024105,0.723053,0.366307,0.462059,0.292736,0.412695,0.345370,0.322396,0.350208,0.344175,0.315819,0.324539,0.268621,0.184692,0.001200,0.005443,0.037531,0.010854,0.017667,0.025038,0.023268,0.014450,0.014899,0.009748,0.017032,0.010748,0.013293,sirens
0.052734,0.281315,3.303974,0.167602,0.171594,0.546366,0.014028,0.110685,-21.753411,-0.118738,-1.560298,-0.124025,-0.751893,-0.139093,-0.003661,-0.063594,0.184396,-0.032303,0.115281,0.039177,0.035465,0.009424,0.010715,0.005470,0.006399,0.005628,0.007590,0.007684,0.003574,0.008993,0.007947,0.006635,0.008040,0.012817,0.022244,0.006746,0.007458,0.028603,0.018240,0.141024,0.002262,0.034136,0.960824,0.607372,0.722557,0.994156,0.892571,0.837218,0.648844,0.372417,0.314366,0.310660,0.431047,0.464079,0.279763,0.017578,0.020062,0.006953,0.014952,0.011855,0.017102,0.015389,0.005024,0.018515,0.014669,0.012697,0.012890,0.006058,sirens
0.040569,0.061118,3.250821,0.138832,0.241981,0.121969,0.007116,0.055298,-27.402881,0.787883,-1.594232,-0.008756,-1.333389,-0.379001,0.262918,0.643485,0.356907,0.266847,-0.666013,0.009165,0.133881,0.005876,0.041698,0.002917,0.002081,0.004863,0.002835,0.004684,0.009417,0.002893,0.002299,0.002028,0.003624,0.015411,0.009260,0.024200,0.069348,0.017376,0.016887,0.044728,0.006245,0.009607,1.599063,0.511119,0.424600,0.311540,0.276738,0.263263,0.216307,0.253015,0.255754,0.208327,0.213682,0.183160,0.153929,0.006118,0.029456,0.002776,0.001882,0.005123,0.002751,0.005094,0.009993,0.002766,0.001966,0.002027,0.003414,0.008763,sirens
0.041577,0.111476,3.207716,0.130407,0.184569,0.140234,0.009699,0.047229,-24.164363,1.123277,-1.639811,-0.509577,-0.349823,-0.010519,0.613647,-0.284287,-0.332065,0.355094,-0.136977,-0.117689,-0.036733,0.007111,0.011234,0.012324,0.013325,0.009766,0.013383,0.010785,0.011995,0.065787,0.002755,0.002778,0.003219,0.036357,0.009741,0.046829,0.092162,0.020179,0.022935,0.064880,0.006605,0.004618,1.124648,0.522521,0.367562,0.293428,0.265099,0.239809,0.222427,0.262421,0.258375,0.246505,0.227332,0.177827,0.144161,0.010714,0.013742,0.015726,0.018780,0.014425,0.018279,0.016535,0.013225,0.025187,0.004338,0.005184,0.005690,0.014723,sirens
0.041577,0.111476,3.207716,0.130407,0.184569,0.140234,0.009699,0.047229,-24.164363,1.123277,-1.639811,-0.509577,-0.349823,-0.010519,0.613647,-0.284287,-0.332065,0.355094,-0.136977,-0.117689,-0.036733,0.007111,0.011234,0.012324,0.013325,0.009766,0.013383,0.010785,0.011995,0.065787,0.002755,0.002778,0.003219,0.036357,0.009741,0.046829,0.092162,0.020179,0.022935,0.064880,0.006605,0.004618,1.124648,0.522521,0.367562,0.293428,0.265099,0.239809,0.222427,0.262421,0.258375,0.246505,0.227332,0.177827,0.144161,0.010714,0.013742,0.015726,0.018780,0.014425,0.018279,0.016535,0.013225,0.025187,0.004338,0.005184,0.005690,0.014723,sirens
0.025454,0.072993,3.287437,0.098790,0.162853,0.106399,0.006088,0.042635,-26.977011,1.795986,-0.650125,0.059508,-0.705193,-1.137621,-0.564537,0.013561,-0.065775,0.254155,0.660261,0.214439,-0.316969,0.001455,0.000771,0.001370,0.015659,0.028403,0.001396,0.002222,0.000170,0.009159,0.074674,0.006227,0.002073,0.025386,0.010781,0.052029,0.049871,0.023020,0.030658,0.059937,0.013247,0.014457,3.229159,0.521903,0.450510,0.347329,0.288517,0.246153,0.221099,0.175113,0.194955,0.207566,0.198947,0.146681,0.130546,0.000447,0.000266,0.000445,0.009979,0.024674,0.000508,0.000980,0.000106,0.004181,0.041318,0.002970,0.000757,0.009001,sirens
0.020424,0.045159,2.951048,0.083106,0.148090,0.090867,0.009938,0.035071,-24.270252,1.678224,-0.340124,0.455354,-0.191222,0.333444,0.069791,0.262059,0.096467,0.188380,-0.052958,0.108790,0.168178,0.002080,0.000586,0.221608,0.001417,0.009617,0.001145,0.162345,0.000439,0.000899,0.001957,0.010566,0.001067,0.084739,0.010225,0.021310,0.136622,0.022727,0.038555,0.057458,0.007667,0.024861,0.512771,0.436584,0.249481,0.179898,0.186688,0.173772,0.143441,0.141540,0.131520,0.139823,0.160323,0.152112,0.151468,0.001579,0.000551,0.100983,0.000995,0.006930,0.000922,0.074698,0.000383,0.000798,0.001297,0.008993,0.001022,0.015948,sirens
0.039454,0.088476,3.230783,0.099204,0.134010,0.220176,0.005214,0.068160,-24.468226,0.337794,-1.125507,-0.845526,-0.907343,0.516088,0.514279,0.314953,-0.221943,-0.391949,0.029764,0.365459,-0.058091,0.002837,0.003077,0.004890,0.006095,0.119814,0.005959,0.006368,0.003900,0.003374,0.003574,0.007130,0.004218,0.038163,0.008745,0.036432,0.099137,0.019230,0.034938,0.097172,0.003233,0.019016,0.895823,0.453605,0.330136,0.234527,0.211133,0.199410,0.257633,0.222199,0.247999,0.258792,0.218440,0.170405,0.166520,0.002513,0.003338,0.005304,0.007248,0.028754,0.006195,0.006935,0.003413,0.004064,0.003889,0.008806,0.005222,0.009224,sirens
