@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
0.047225,0.056060,3.101246,0.136844,0.167962,0.442549,0.007234,0.072125,-24.027007,1.949282,0.380023,-0.011272,0.071467,0.135856,-0.033829,0.089217,-0.088440,0.076301,0.004333,0.078815,0.019115,0.008139,0.003063,0.131890,0.009460,0.018165,0.007351,0.080694,0.002107,0.005161,0.014772,0.020539,0.002659,0.050998,0.025771,0.038464,0.157264,0.033850,0.021663,0.290443,0.005324,0.059721,1.243220,0.564106,0.612108,0.406368,0.350914,0.321793,0.289352,0.267909,0.246015,0.243006,0.233118,0.225704,0.210232,0.008336,0.004664,0.076511,0.009775,0.014116,0.008170,0.049621,0.003662,0.006081,0.013636,0.019335,0.003230,0.020375,music
0.033024,0.075054,3.091885,0.133881,0.197269,0.188173,0.010386,0.041026,-26.093130,3.208063,0.202870,0.185125,-0.073249,-0.030368,0.020994,0.177627,0.068502,0.006062,0.042715,0.060131,0.026579,0.016971,0.001418,0.056046,0.005463,0.022377,0.006548,0.129632,0.000338,0.006486,0.008863,0.061960,0.003603,0.051909,0.029577,0.078034,0.197592,0.054921,0.036642,0.219774,0.011178,0.054441,1.435761,0.623003,0.330441,0.266966,0.209655,0.234730,0.197022,0.200177,0.182925,0.189032,0.171933,0.171290,0.172214,0.012685,0.001540,0.035571,0.005110,0.016680,0.006387,0.085688,0.000425,0.005073,0.006731,0.039740,0.003304,0.018766,music
0.039649,0.102051,3.148531,0.128788,0.182151,0.242827,0.009516,0.050365,-23.549213,2.596551,0.100330,0.213704,-0.192059,0.014219,-0.126630,-0.039545,-0.035477,0.047571,0.020013,0.114594,0.025874,0.015082,0.006436,0.095091,0.010734,0.026936,0.010688,0.057892,0.001409,0.009913,0.013905,0.033109,0.007688,0.043785,0.025695,0.058627,0.128066,0.038404,0.026635,0.221436,0.009481,0.049079,1.145155,0.561406,0.453632,0.320476,0.292594,0.293273,0.269716,0.261416,0.276384,0.241442,0.251120,0.234448,0.202510,0.017808,0.009614,0.080949,0.012352,0.022845,0.012268,0.042121,0.002246,0.009799,0.012202,0.025298,0.008816,0.020717,music
0.035058,0.045156,3.084471,0.122452,0.173488,0.266979,0.009539,0.050876,-26.843445,2.536311,-0.007969,0.233046,0.194812,0.210149,0.123829,0.202883,0.039626,0.083494,-0.031585,0.070410,0.035765,0.008538,0.004617,0.099827,0.008368,0.032973,0.005048,0.074826,0.001754,0.003524,0.013670,0.029379,0.003270,0.044966,0.023795,0.044980,0.162303,0.043215,0.030075,0.265887,0.008155,0.053430,1.413021,0.740435,0.563225,0.388271,0.335877,0.313148,0.274018,0.256958,0.239001,0.220387,0.220162,0.198224,0.195552,0.008825,0.005545,0.057202,0.009898,0.017224,0.005305,0.047885,0.002893,0.004557,0.013607,0.023819,0.004122,0.015047,music
0.032564,0.100227,3.155609,0.114976,0.172354,0.183498,0.009341,0.041558,-23.879407,2.406963,-0.186621,0.238850,-0.046954,0.132230,-0.018239,-0.060469,-0.197281,-0.031715,0.063543,0.158431,0.052546,0.014073,0.005301,0.084517,0.012124,0.025172,0.014118,0.087838,0.005219,0.007813,0.005952,0.029368,0.003212,0.047480,0.020400,0.059655,0.143091,0.033500,0.028960,0.180126,0.008278,0.037467,1.043410,0.550216,0.449676,0.304764,0.278486,0.262708,0.257346,0.265716,0.268912,0.253924,0.263062,0.246373,0.221440,0.016261,0.006764,0.049535,0.014134,0.025265,0.017302,0.051780,0.006794,0.009785,0.006258,0.020279,0.004686,0.015872,music
0.037999,0.026830,3.163036,0.110754,0.163019,0.254909,0.005890,0.050624,-25.080606,2.607965,0.146532,0.182615,-0.074247,-0.016333,-0.054193,-0.024595,0.028427,0.010595,0.034167,0.056750,-0.068433,0.019796,0.004392,0.029400,0.014981,0.020597,0.009549,0.035813,0.002281,0.012295,0.023634,0.049503,0.005115,0.030169,0.018425,0.013119,0.153489,0.028998,0.026589,0.181631,0.004839,0.035246,0.816812,0.397700,0.361058,0.273567,0.262382,0.237534,0.224350,0.228514,0.225854,0.213251,0.217905,0.212396,0.186735,0.015030,0.003336,0.018241,0.012687,0.015275,0.009409,0.022976,0.003410,0.011819,0.015747,0.022451,0.004812,0.008300,music
0.044668,0.038691,3.194850,0.127374,0.174989,0.278831,0.005516,0.056751,-24.405105,2.526456,-0.069942,0.104284,-0.164551,-0.069362,-0.194586,-0.072534,-0.066990,-0.081963,-0.056478,0.056274,0.005115,0.016357,0.002450,0.031427,0.036454,0.023065,0.017404,0.032412,0.001640,0.013747,0.024686,0.032138,0.004959,0.029790,0.025707,0.016790,0.105014,0.032424,0.023379,0.237313,0.004176,0.049651,0.828983,0.342801,0.345773,0.271655,0.249820,0.242190,0.244872,0.244198,0.238034,0.235043,0.234776,0.227470,0.206789,0.015829,0.002430,0.022522,0.031814,0.018662,0.018602,0.030250,0.002271,0.012239,0.017805,0.022661,0.005001,0.009931,music
0.051197,0.083614,3.138275,0.145141,0.184909,0.354575,0.008774,0.068894,-23.533861,2.117396,-0.265059,0.065959,-0.192745,-0.007037,-0.122846,0.021081,0.099492,0.038323,-0.083442,-0.022473,-0.093543,0.020779,0.006224,0.061124,0.012010,0.012707,0.005862,0.056086,0.002169,0.009459,0.017253,0.042584,0.009121,0.038883,0.032412,0.043319,0.162792,0.041651,0.025045,0.319329,0.007165,0.065704,1.070293,0.564773,0.507683,0.361115,0.302647,0.284233,0.267229,0.267739,0.271836,0.260052,0.250213,0.244352,0.227536,0.021638,0.008101,0.050203,0.013398,0.011280,0.007343,0.047773,0.003325,0.010327,0.017251,0.036432,0.011922,0.015415,music
0.055961,0.035336,3.153632,0.131623,0.164817,0.482259,0.009293,0.087446,-23.990271,1.935712,0.127103,0.125296,0.022970,0.123670,0.010509,0.110051,0.033174,0.031708,0.004308,0.036132,-0.005412,0.012020,0.005420,0.029698,0.011670,0.020139,0.010049,0.063711,0.002706,0.006742,0.021027,0.028938,0.007365,0.027777,0.029163,0.016802,0.137949,0.035221,0.026832,0.311607,0.007864,0.061858,1.084425,0.544383,0.463264,0.327180,0.313839,0.270402,0.256704,0.250763,0.241614,0.224965,0.204092,0.201431,0.194627,0.010938,0.006449,0.025186,0.013669,0.019771,0.011637,0.046648,0.003949,0.008368,0.021258,0.028260,0.008404,0.012879,music
0.037784,0.078538,3.159670,0.127685,0.182854,0.232297,0.013141,0.052818,-23.612656,2.838311,0.046827,0.477189,-0.017079,0.043334,-0.031182,0.034304,-0.149475,-0.133396,-0.238979,-0.217402,-0.089196,0.017641,0.005941,0.092446,0.019555,0.027090,0.006902,0.063473,0.001990,0.003527,0.012470,0.019179,0.005258,0.039761,0.031766,0.068823,0.126277,0.050202,0.030411,0.298014,0.013089,0.061445,1.178450,0.724565,0.480779,0.347376,0.352830,0.308721,0.292813,0.251426,0.241395,0.240993,0.236637,0.245131,0.234992,0.019955,0.007490,0.059665,0.018830,0.022493,0.008395,0.077900,0.003438,0.004733,0.011267,0.020804,0.006488,0.020107,music
0.061617,0.051563,3.100608,0.143510,0.172949,0.510068,0.009589,0.099849,-23.905637,2.261001,0.301903,0.213063,-0.008700,0.232500,0.048080,0.065394,-0.073578,0.004217,0.030455,0.041526,0.054931,0.011926,0.003851,0.052687,0.013213,0.025200,0.011352,0.060414,0.001796,0.004826,0.010008,0.046890,0.003934,0.033276,0.046538,0.048061,0.196586,0.047581,0.025705,0.482793,0.009258,0.098939,1.471191,0.736411,0.569762,0.395606,0.372959,0.364556,0.309318,0.300739,0.295447,0.241095,0.240532,0.217548,0.205073,0.012925,0.005118,0.049400,0.015178,0.019760,0.014653,0.061190,0.003200,0.006195,0.009633,0.041942,0.005145,0.017178,music
0.077279,0.017216,2.915049,0.189410,0.228826,0.621616,0.026366,0.125081,-28.469542,2.661171,0.391711,0.353736,0.053981,-0.039068,0.079645,0.074360,0.049576,-0.188948,-0.163200,-0.146190,-0.162407,0.033397,0.003443,0.088664,0.013439,0.009667,0.003717,0.123395,0.000377,0.001097,0.009103,0.033141,0.006652,0.055390,0.059651,0.019177,0.292436,0.067795,0.042104,0.417788,0.020179,0.128296,2.395748,0.675806,0.566930,0.418028,0.332176,0.320352,0.229224,0.236623,0.213366,0.259179,0.243712,0.215377,0.229447,0.038524,0.005825,0.056634,0.022109,0.013226,0.006408,0.094891,0.000595,0.001397,0.009843,0.032529,0.011891,0.019718,speech
0.156023,0.005549,2.888971,0.265250,0.252616,0.981861,0.019708,0.247166,-30.519558,2.216762,0.486827,0.559201,0.148282,-0.050154,-0.025263,0.030755,-0.022655,0.101848,-0.223998,-0.003371,-0.103590,0.015262,0.003315,0.056391,0.018588,0.034097,0.010215,0.082575,0.001260,0.003337,0.014991,0.022851,0.003847,0.038168,0.114036,0.007249,0.333190,0.104746,0.048469,0.553918,0.014548,0.214097,2.740178,0.917149,0.700003,0.402388,0.388252,0.332368,0.262164,0.230864,0.218746,0.197939,0.201606,0.206525,0.179024,0.021933,0.004764,0.041815,0.023156,0.033735,0.013081,0.070687,0.002186,0.004278,0.015978,0.023166,0.005477,0.018551,speech
0.076421,0.028807,2.955970,0.160902,0.181352,0.557233,0.014918,0.098896,-29.610659,1.971439,0.445808,0.012886,-0.088768,-0.016975,0.140494,0.034708,0.070162,-0.183465,-0.044322,-0.050820,-0.144807,0.028392,0.003826,0.022580,0.007283,0.032190,0.007221,0.038708,0.001106,0.004365,0.027829,0.023998,0.004512,0.030726,0.061833,0.025034,0.499572,0.062555,0.042944,0.447031,0.014827,0.088142,4.426656,0.987784,0.638017,0.480372,0.350461,0.335046,0.240160,0.303149,0.229653,0.287682,0.254928,0.266185,0.270927,0.037887,0.007041,0.029406,0.011707,0.026932,0.011707,0.047946,0.001607,0.007309,0.037303,0.029406,0.008317,0.014199,speech
